id,name,full_name,url,stars,forks
123458551,Python-100-Days,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,173087,54680
1062897,gitignore,github/gitignore,https://github.com/github/gitignore,169914,83009
35955666,the-art-of-command-line,jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,158423,14760
527591471,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,157156,29166
21540759,awesome-go,avelino/awesome-go,https://github.com/avelino/awesome-go,154281,12633
658928958,ollama,ollama/ollama,https://github.com/ollama/ollama,153795,13355
132464395,JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,152038,46003
233472199,Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,151482,14663
155220641,transformers,huggingface/transformers,https://github.com/huggingface/transformers,150818,30705
6498492,javascript,airbnb/javascript,https://github.com/airbnb/javascript,147595,26793
193215554,n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,147068,46690
1039520,youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,138298,10513
574523116,awesome-chatgpt-prompts,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,135093,17972
70107786,next.js,vercel/next.js,https://github.com/vercel/next.js,134931,29528
62607227,tech-interview-handbook,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,131034,15896
599320067,langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,130344,7762
58028038,HelloGitHub,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,130289,10773
23096959,go,golang/go,https://github.com/golang/go,130216,18435
307260205,yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,130064,10437
241576270,fucking-algorithm,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,129499,23446
111583593,scrcpy,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,129471,12135
112507086,30-seconds-of-code,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,125470,12341
184456251,PowerToys,microsoft/PowerToys,https://github.com/microsoft/PowerToys,124163,7396
